Burn_Season,Canopy_Cover,Percent_Light_Transmited
Early dry,Open,72.27
Early dry,Partial,52.3
Early dry,Open,60.26
Early dry,Open,73.52
Early dry,Partial,55.44
Early dry,Partial,58.85
Early wet,Partial,49.19
Early wet,Partial,47.98
Early wet,Open,68.29
Early wet,Open,78.28
Early wet,Open,78.25
Early wet,Partial,56.33
Mid-dry,Open,66.04
Mid-dry,Open,66.9
Mid-dry,Open,62.47
Mid-dry,Partial,57.88
Mid-dry,Partial,56.84
Mid-dry,Partial,58.83
